surface,canonical_path,excluded_alternatives,reason,supporting_report_or_manifest,safe_for_github,portability_action
support-relation validation,"scripts/tkde_rebuild/validate_support_relation.py; results/tkde_rebuild/FRAMEWORK_VALIDATION_CASES.csv","ad hoc claim checkers without the final 14-case mutation contract","This is the final deterministic validator used by the completed manuscript.","results/tkde_rebuild/COMMAND_LOG.md; FINAL_TKDE_READINESS_REPORT.md",yes,"Run against frozen included inputs."
figure generation,"scripts/tkde_rebuild/make_figures.py; scripts/tkde_visual_rebuild/publication_style.py","scripts/paper_figures/build_tkde_manuscript.py; obsolete figure variants","The V2 visual rebuild regenerates eight active figure pairs from frozen aggregate data.","results/tkde_visual_rebuild/COMMAND_LOG.md; FIGURE_DATA_PROVENANCE.csv",yes,"Exclude page renders and contact sheets."
table generation,"scripts/tkde_visual_rebuild/build_main_tables.py; scripts/tkde_visual_rebuild/build_curated_supplement_tables.py; scripts/tkde_rebuild/build_tables.py","retired raw-row/tiny-table layouts; old paper table exporters","The compatibility builder delegates to the two active V2 builders and cannot restore the retired layout.","results/tkde_visual_rebuild/COMMAND_LOG.md; CURATED_SUPPLEMENT_TABLE_MANIFEST.csv",yes,"No scalar changes."
main LaTeX manuscript,"paper_tkde/main.tex; paper_tkde/sections/01_abstract.tex through 11_conclusion.tex; active V2 tables and figures","gnnpaper/**; runs_paper/**; fraudshiftbench_paper/**; paper_tkde/*.md drafts; LaTeX auxiliaries","paper_tkde is explicitly declared authoritative and produces the final 14-page TKDE main paper.","paper_tkde/README_BUILD.md; results/tkde_visual_rebuild/FINAL_VISUAL_AND_EDITORIAL_READINESS_REPORT.md",yes,"Keep the active dependency closure only."
supplement LaTeX source,"paper_tkde/supplement/supplement.tex; paper_tkde/supplement/sections/*.tex; paper_tkde/supplement/tables/table_v2_*.tex","earlier supplement fragments; compiled auxiliaries; baseline page renders","The V2 supplement is the final 30-page curated reviewer path.","results/tkde_visual_rebuild/FINAL_VISUAL_AND_EDITORIAL_READINESS_REPORT.md; source-analysis archive manifest",yes,"Keep source and final PDF; exclude auxiliaries."
final PDFs,"output/pdf/FraudShiftBench_TKDE_main.pdf; output/pdf/FraudShiftBench_TKDE_supplement.pdf","paper_tkde/main.pdf; paper_tkde/supplement/supplement.pdf; historical PDFs","The governing specification identifies these two output files as the final publication PDFs.","results/tkde_visual_rebuild/FINAL_VISUAL_AND_EDITORIAL_READINESS_REPORT.md; release/tkde_visual_rebuild/CHECKSUMS.sha256",yes,"Map to paper/pdf/ with stable public names."
CI configuration,"curated checkout .github/workflows/ci.yml","origin/main CI; local full-suite CI; fraudshiftbench_audit.yml","The public workflow must be dataset-free, GPU-free, and limited to the curated dependency closure.","governing publication prompt Phase H",yes,"Author a lightweight curated workflow and document skipped high-cost checks."
tests,"selected framework, support, claim-language, provenance, and V2 release-audit tests under tests/","tests requiring excluded raw predictions, imported run trees, Kaggle ZIPs, GPU artifacts, or historical releases","The curated suite covers executable contracts without pretending excluded payloads are present.","results/tkde_visual_rebuild/COMMAND_LOG.md; governing publication prompt Phase H",yes,"Use corrected unittest discovery with -t ."
Kaggle runbooks,"kaggle/README.md; kaggle/MASTER_RUNBOOK.md; kaggle_bootstrap.py; notebook generators; kaggle_workspace/manifests/V22_FINAL_GPU_EVIDENCE_LOCK.json","kaggle_workspace downloaded/upload bundles; generated notebooks; kaggleresults; raw credentials","Plain-text runbooks and a frozen evidence lock are sufficient; provider workspaces and outputs remain local.","paper_tkde/COMMANDS_TO_REPRODUCE_PAPER_ASSETS.md; source-analysis archive manifest",yes,"No credentials, notebooks with outputs, or dataset payloads."
imported evidence summaries,"results/v24_imported/V24_IMPORTED_EVIDENCE_LOCK.json; results/v26_imported/V26_IMPORTED_EVIDENCE_LOCK.json; results/v27_imported/V27_STRONGER_GRAPH_EVIDENCE_LOCK.json; results/v28_imported/V28_ALL_RUNS_EVIDENCE_LOCK.json; selected aggregate CSVs","nested imported result and prediction directories; raw ZIP inventories; row-level predictions","The lock files and final aggregates establish counts and hashes without republishing raw predictions.","FROZEN_SCIENTIFIC_INPUT_HASHES.csv; source-analysis archive manifest",yes,"Publish manifest/lock layer only."
resource-boundary reports,"results/tkde_rebuild/RESOURCE_BOUNDARIES.csv; results/tkde_rebuild/RESOURCE_BOUNDARIES.md","failed-run payloads; speculative performance summaries","The final table explicitly keeps six unmeasured cells outside predictive rankings.","FINAL_VISUAL_AND_EDITORIAL_READINESS_REPORT.md; CLAIM_EVIDENCE_LEDGER.csv",yes,"Retain nonnumeric blocked semantics."
final release and clean-room scripts,"scripts/tkde_visual_rebuild/build_visual_release.py; scripts/tkde_rebuild/build_release.py; scripts/tkde_rebuild/compile_papers.sh","historical release ZIPs; duplicate source bundles","These scripts implement deterministic packaging, hygiene, checksums, and clean-room validation.","results/tkde_visual_rebuild/COMMAND_LOG.md; release/tkde_visual_rebuild/CLEAN_ROOM_BUILD_REPORT.md",yes,"Do not commit generated ZIPs."
licence and citation,"curated checkout LICENSE_REVIEW_REQUIRED.md; CITATION.cff","invented permissive licence; de-anonymized citation metadata","No project-wide licence exists and third-party/template redistribution has not been cleared.","origin/main licenseInfo=null; governing publication prompt Phase I",yes,"State no licence grant; preserve anonymous review metadata."
