object_id,object_type,latex_label,caption_title,document,current_pdf_page,final_disposition,final_destination,planned_replacement,source_data_files,provenance_checksum_record
S-T10,longtable,tab:s-ibm-seed,Complete IBM seed rows,supplement,21,MOVE_SUPPLEMENT_TO_ARTIFACT,artifact,Completeness/schema summary; all 840 rows in artifact.,results/tkde_rebuild/IBM_IMPORTED_SEED_ROWS.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv
S-T11,longtable,tab:s-ibm-cells,IBM cell aggregates,supplement,32,SPLIT,supplement,"Baseline, graph-grid, and scale-focused aggregate tables.",results/tkde_rebuild/IBM_CELL_SUMMARY.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv
S-T12,longtable,tab:s-ranks,Rank/decision disagreement,supplement,33,KEEP_WITH_MINOR_EDIT,supplement,Readable exact-feasibility rank summary.,results/tkde_rebuild/IBM_RANK_DIVERGENCE.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv
S-T13,longtable,tab:s-ablation,Matched IBM construction effects,supplement,33,REDESIGN,supplement,Multi-metric aggregate table with ten seed blocks and correction status.,results/tkde_rebuild/IBM_MATCHED_ABLATION_EFFECTS.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv
S-T14,longtable,tab:s-ablation-contexts,Context-specific IBM effects,supplement,34,MOVE_SUPPLEMENT_TO_ARTIFACT,artifact,Directional heterogeneity counts plus representative contexts; all 208 rows in artifact.,results/tkde_rebuild/IBM_MATCHED_ABLATION_CONTEXT_EFFECTS.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv
S-T15,longtable,tab:s-runtime,Runtime and feasibility,supplement,38,REDESIGN,supplement,Reference/Pareto/blocked resource summary by scale and protocol.,results/tkde_rebuild/IBM_RUNTIME_FEASIBILITY.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv
S-T16,longtable,tab:s-graphsafe,GraphSafe aggregate summary,supplement,40,KEEP_WITH_MINOR_EDIT,supplement,Comparator-focused aggregate table.,results/tkde_rebuild/GRAPHSAFE_BOUNDED_SUMMARY.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv
S-T17,longtable,tab:s-graphsafe-tests,GraphSafe paired tests,supplement,40,REDESIGN,supplement,Selected decision metrics plus 48-test family summary.,results/tkde_rebuild/GRAPHSAFE_PAIRED_VS_SIMPLE_AVERAGE.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv
S-T18,longtable,tab:s-review-budget,Review-budget results,supplement,40,REDESIGN,supplement,Focused 1% table plus curves for 0.5/1/2%.,results/tkde_rebuild/REVIEW_BUDGET_CURVES.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv
S-T19,longtable,tab:s-resources,Resource cases,supplement,42,SPLIT,supplement,Readable case-study cards with evidence/no-evidence and safe wording.,results/tkde_rebuild/RESOURCE_BOUNDARIES.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv
S-T20,longtable,tab:s-claims,Typed claim ledger,supplement,5,SPLIT,supplement,Five thematic claim tables with concise permitted/prohibited quantifiers.,results/tkde_rebuild/CLAIM_EVIDENCE_LEDGER.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv
S-T21,longtable,tab:s-families,Evidence family and lock map,supplement,45,MOVE_SUPPLEMENT_TO_ARTIFACT,artifact,Concise provenance map; exhaustive paths/checksums in artifact.,results/tkde_rebuild/EVIDENCE_INVENTORY.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv
S-T22,longtable,tab:s-framework,Controlled validation cases,supplement,44,REDESIGN,supplement,"Readable mutation family, violated rule, expected/observed status, pass table.",results/tkde_rebuild/FRAMEWORK_VALIDATION_CASES.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv
S-T23,longtable,tab:s-false-promotion,False-promotion audit,supplement,44,KEEP_WITH_MINOR_EDIT,supplement,Compact category/count/correct-treatment table.,results/tkde_rebuild/FALSE_PROMOTION_AUDIT.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv
S-E01,equation,unlabeled:S-E01,Raw label semantics,supplement,3,KEEP_AS_IS,supplement,Retain in the corresponding curated technical section.,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv
S-E02,equation,unlabeled:S-E02,Eligibility and binary target,supplement,3,KEEP_AS_IS,supplement,Retain in the corresponding curated technical section.,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv
S-E03,equation,unlabeled:S-E03,Scientific cell key,supplement,3,KEEP_AS_IS,supplement,Retain in the corresponding curated technical section.,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv
S-E04,equation,unlabeled:S-E04,Deployment contract,supplement,3,KEEP_AS_IS,supplement,Retain in the corresponding curated technical section.,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv
S-E05,equation,unlabeled:S-E05,Evidence unit,supplement,4,KEEP_AS_IS,supplement,Retain in the corresponding curated technical section.,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv
S-E06,equation,unlabeled:S-E06,Typed claim,supplement,4,KEEP_AS_IS,supplement,Retain in the corresponding curated technical section.,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv
S-E07,equation,unlabeled:S-E07,Requirement monotonicity,supplement,4,KEEP_AS_IS,supplement,Retain in the corresponding curated technical section.,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv
S-E08,equation,unlabeled:S-E08,GCN update,supplement,7,KEEP_AS_IS,supplement,Retain in the corresponding curated technical section.,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv
S-E09,equation,unlabeled:S-E09,GraphSAGE update,supplement,7,KEEP_AS_IS,supplement,Retain in the corresponding curated technical section.,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv
S-E10,equation,unlabeled:S-E10,IBM neighborhood summary,supplement,7,KEEP_AS_IS,supplement,Retain in the corresponding curated technical section.,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv
S-E11,equation,unlabeled:S-E11,IBM edge score,supplement,7,KEEP_AS_IS,supplement,Retain in the corresponding curated technical section.,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv
S-E12,equation,unlabeled:S-E12,GINE update,supplement,7,KEEP_AS_IS,supplement,Retain in the corresponding curated technical section.,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv
S-E13,equation,unlabeled:S-E13,Normalized AUPRC diagnostic,supplement,10,KEEP_AS_IS,supplement,Retain in the corresponding curated technical section.,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv
S-E14,equation,unlabeled:S-E14,"Precision, recall, and F1",supplement,10,KEEP_AS_IS,supplement,Retain in the corresponding curated technical section.,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv
S-E15,equation,unlabeled:S-E15,Illustrative cost risk,supplement,10,KEEP_AS_IS,supplement,Retain in the corresponding curated technical section.,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv
S-E16,equation,unlabeled:S-E16,Brier score,supplement,10,KEEP_AS_IS,supplement,Retain in the corresponding curated technical section.,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv
S-E17,equation,unlabeled:S-E17,Paired Cohen dz,supplement,10,KEEP_AS_IS,supplement,Retain in the corresponding curated technical section.,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv
S-E18,equation,unlabeled:S-E18,GraphSafe reliability risk,supplement,39,KEEP_AS_IS,supplement,Retain in the corresponding curated technical section.,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv
S-E19,equation,unlabeled:S-E19,GraphSafe switching score,supplement,39,KEEP_AS_IS,supplement,Retain in the corresponding curated technical section.,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv
S-L01,landscape_block,unlabeled:S-L01,Model and training cards,supplement,9,REDESIGN,supplement,Remove the wrapper; use portrait footnotesize curated tables and natural pagination.,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv
S-L02,landscape_block,unlabeled:S-L02,Node protocol raw tables,supplement,12-18,REDESIGN,supplement,Remove the wrapper; use portrait footnotesize curated tables and natural pagination.,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv
S-L03,landscape_block,unlabeled:S-L03,IBM raw and aggregate tables,supplement,21-38,REDESIGN,supplement,Remove the wrapper; use portrait footnotesize curated tables and natural pagination.,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv
S-L04,landscape_block,unlabeled:S-L04,GraphSafe tables,supplement,40-41,REDESIGN,supplement,Remove the wrapper; use portrait footnotesize curated tables and natural pagination.,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv
S-L05,landscape_block,unlabeled:S-L05,Validator tables,supplement,44,REDESIGN,supplement,Remove the wrapper; use portrait footnotesize curated tables and natural pagination.,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv
